ZIP,COORDINATES,POPULATION,AVG_INC_HH
10007,"40.713973, -74.008336",3522,112947
10280,"40.708501, -74.016828",6614,108536
10162,"40.769298, -73.949942",1726,108416
10004,"40.691870, -74.014109",1225,101868
10069,"40.775551, -73.989689",1403,88091
10282,"40.717017, -74.015566",1574,86066
10006,"40.707970, -74.013610",1447,81334
10022,"40.758615, -73.967752",30642,80406
10005,"40.705390, -74.008988",884,79517
10024,"40.786307, -73.970694",61414,78066
10028,"40.776865, -73.954721",44987,77565
10021,"40.769742, -73.961653",102078,75472
10023,"40.775394, -73.982197",62206,72424
10128,"40.781656, -73.950281",59856,70031
10017,"40.752292, -73.972393",16201,69273
10014,"40.733471, -74.007098",32667,66601
10016,"40.744983, -73.978262",51217,66342
10010,"40.739122, -73.982363",26408,62467
10011,"40.741844, -74.000711",46669,61986
10003,"40.731856, -73.989145",53673,60891
10012,"40.725639, -73.998090",26000,58313
10019,"40.766331, -73.985013",36012,55869
10044,"40.762050, -73.949933",9520,49976
10025,"40.797958, -73.964917",97086,49733
10018,"40.754969, -73.992126",4255,48705
10036,"40.759614, -73.991148",18751,41002
10001,"40.750722, -73.997276",17310,40932
10009,"40.726622, -73.978955",58595,40176
10013,"40.720067, -74.004829",25042,38304
10033,"40.849124, -73.935956",58259,31348
10038,"40.709336, -74.002943",15574,31316
10034,"40.869208, -73.921929",41756,29479
10040,"40.858134, -73.929031",46599,27905
10037,"40.813159, -73.937352",16984,26561
10032,"40.839194, -73.942591",63842,26237
10031,"40.825857, -73.949451",60221,24285
10002,"40.715952, -73.985870",84870,24022
10027,"40.811407, -73.953564",56168,23150
10026,"40.802320, -73.952943",30377,22491
10029,"40.792245, -73.945230",75390,22232
10030,"40.818492, -73.943283",25847,17970
10039,"40.826296, -73.937053",21737,17370
10035,"40.795487, -73.929501",32702,14896
